ROCO_81826	 Model bone showing the extent of graft insertion
ROCO_81964	 Compartmentation of the granular layer. Cell transverse lineage boundaries seen in a β-gal-stained sagittal section through an adult murine embryonic stem cell chimera. The ES-cell-derived granule cells (β-gal+) are concentrated preferentially in the anterior vermis (AZ) with a restriction boundary in lobule VI (AX/CZ: arrow), and in the nodulus with a boundary in the sulcus between lobules IX and X (the PZ/NZ boundary: arrow) [Adapted from Hawkes et al. (1999)].
ROCO_81965	 Measurement of visual assessment parameters.
ROCO_81966	 Schematic representation of botulinum toxin type A injection sites on the face. 1 - Forehead lines: Frontalis muscle, 2 - Glabellar/frown lines: Corrugator supercilii and procerus muscles, 3 - Crow's feet (lateral orbital lines): Orbicularis oculi, 4 - Perioral lines (smoker's lines), gummy smile: Orbicularis oris muscle, 5 - Marionette lines: Depressor anguli oris, 6 - Mentalis dysfunction: Mentalis muscle
ROCO_81968	 Stimulation areas, back view.
ROCO_81969	 Case No. 657. Corrected by flat foot-type of stabilization and transplantation of the peroneuslongus tendon into the heel cord.
ROCO_81970	 Flexometallic endotracheal tube rail roaded over a Portex Bougie
ROCO_81971	 Predictive reconstruction of all cell positions in the whole mouse brain. The left side of the image shows a Nissl-stained section from the Allen Mouse Brain Atlas. The right side shows a digital reconstruction of the cell positions (neurons and glia) obtained algorithmically by analysing the data (C. Erö et al. 2014, unpublished data).
ROCO_81972	 Anterior segment OCT at 9 months follow-up, showing the presence of the tube (24G cannula) in situ.
ROCO_81973	 A lesion with obscure brownish change and obscure scattered brown dots.
ROCO_81974	 Mitis salivarius agar plates
ROCO_81975	 X-ray wrist showing normal bones
ROCO_81976	 Magnatic resonance cholangiopancreatography (MRCP), view.
ROCO_81977	 Basal pupillometry in habitual occlusion. Right pupil diameter: 4.98mm.
ROCO_81978	 Master model.
ROCO_81980	 Pre-operative MRA of the pulmonary arteries showing an aneurysm of the right lower lobe pulmonary artery with a diameter of 3.5 cm in the lower lobe of the right lung.
ROCO_81981	 A small 1-cm to 2-cm infraumbilical incision.
ROCO_81982	  Mamuju District in West Sulawesi indicated by the box and location within the Indonesian archipelago (inset). Not to scale.
ROCO_81983	 Growth of Streptococcus mutans (shown in black arrow) seen as raised, convex, opaque, pale-blue colonies that are granular (i.e., “frosted glass”) in appearance, exhibiting a glistening bubble on the surface due to excessive synthesis of glucan from sucrose and Streptococcus salivaris (shown in red arrow) seen as large, pale-blue, mucoid colonies that are glistening (i.e. “gum-drop”) in appearance on Mitis Salivarius agar (original)
ROCO_81985	 A warning sign displayed at an asbestos work area.
ROCO_81986	 Portrait of Aristotle, a Greek philosopher, student of Plato and teacher of Alexander the Great.
ROCO_81987	 Nerve-to-Nerve Anastomoses after the First Procedure.The specific nerve anastomoses performed by Charles Harrison Frazier on the patient's left arm. Figure source: Spiller, Frazier, and Van Kaathoven, 1905.64
ROCO_81988	 Oblique plication, final step.
ROCO_81990	 Type 13 branching pattern of PCA.
ROCO_81991	 Laparoscopic lysis of adhesions of patient with history of both lumboperitoneal and ventriculoperitoneal shunting.
ROCO_81992	 Port placement for robot-assisted retroperitoneal lymph node dissection in left lateral position. (a) 8 mm port for Prograsp forceps in the right iliac fossa; (b) 8 mm port for fenestrated bipolar in lower abdomen at pararectal line; (c) 12 mm port for assistance at periumbilical location; (d) 5 mm port for liver retraction in midline; (e) 8 mm port for monopolar scissor; (f) 12 mm port for camera
ROCO_81994	 Crack occurred at the middle of U-shape specimen.
ROCO_81995	 Open view of the scattering chamber. The O2 beam originates from a first supersonic nozzle situated in a separated and differentially pumped volume (not shown) above the collision chamber; the H2 beam originates from a second nozzle situated inside the wedged-shaped chamber, (also differentially pumped) attached to the rotatable lid. In this configuration, the probe laser beam propagates perpendicular to the symmetry plane of the molecular beams; ionized species (REMPI) are detected by REMPI via the TOF-MS.
ROCO_81996	 Modified Mapleson's A circuit with a fixed unidirectional PEEP valve (Armstrong medical™)
ROCO_81997	 Pre-processed intensity image showing the centreline corresponding to pixel 0 of each profile in red.
ROCO_81998	 Umbilical incision after closure.
ROCO_82000	 Pericardial defect revealing myocardium as seen from abdomen at laparoscopy.
ROCO_82001	 Marked bilateral periorbital edema, facial abrasions, right brow laceration (covered), right subconjunctival hemorrhage and chemosis at presentation
ROCO_82002	 Cyclodialysis appearance on gonioscopy after closure (solid arrow).
ROCO_82003	 Illustration of sample locations obtained for OPT. 1) Outer-third main body 2) Inner third main body 3) Femoral surface 4) Tibial Surface.
ROCO_82004	 Female 7th sternite. Commonly illustrated for this genus but only occasionally useful to separate species.
ROCO_82005	 After removal of central disc fragment, the working sheath was moved back to the epidural space (A), and the posterior longitudinal ligament (PLL) was removed in half-and-half view (B). D : herniated disc stained by indigocarmine, F : epidural fat, P : posterior longitudinal ligament.
ROCO_82006	 3D modeling of the templates and modification of the anatomical data performed by 3-matic Medical 9.0 software
ROCO_82007	 Illustration of immobilization system in Hospital B.
ROCO_82008	 Port placement for robotic ileal ureter creation: A 12-mm trocar was placed at the umbilicus with a Hasson technique (H). Three 8-mm robotic trocars were placed (1,2,3) as depicted.
ROCO_82011	  The posterior interosseous nerve (asterisk) is separated from the anterolateral elbow capsule by a thick layer of adipose tissue, which is retracted by a probe inserted through the posterolateral portal. Arrowhead indicates capitellum. RH, radial head.
ROCO_82012	 Injured eye after 1 day. The epithelial defect has healed completely.
ROCO_82013	 Fluorescein angiography (FA) and spectral domain-optical coherence tomography (SD-OCT) identify a minimally classic choroidal neovascularisation with the classic component in the nasal portion of the macular area and the occult component in the temporal area (FA, SD-OCT).
ROCO_82016	 A representative coronal brain slice of rat shows the sites of the PVN microinjection.Arrows point to the microinjection sites in the PVN.
ROCO_82017	 Dye penetration at dentin after thermocycling and loading.
ROCO_82018	 Nickel electrode conformation. SEM view of a FIB cut revealing the pore filling. After the membrane is created, the pores are completely filled with electrodeposited Ni. Good surface conformation is verified, leaving no voids between the insulating layer and the nickel electrode.
ROCO_82020	 The fundus photography of the right eye at the three-month follow-up showing the silicon oil reflexes and fully attached retina at the posterior pole
ROCO_82021	 Intraoperative view: the position of the 2.5 mm plate in the extraplatysmatic plane.
ROCO_82022	 Arthroscopic observation of the LT with the hip in external rotation, observe the dynamic rotational impingement maneuver under distraction.
ROCO_82023	 Abdominal wall hematoma, postoperative day 6.
ROCO_82024	 Four equally spaced holes in the agar plate with the 5th hole in the center.
ROCO_82025	 The olecranon fossa was fenestrated using an electric burr because the osteotomized tip of the olecranon had encroached on the osteophytes of the olecranon fossa.
ROCO_82026	 Perioperative endoscopic view of remnant adenomas (solid arrows).
ROCO_82027	 Focal Adhesions.Latrunculin induces retraction revealing actin filaments (arrows). Time: 7:52 minutes:seconds after latrunculin addition. Scale bar: 20 μm. Image from S4 Movie.
ROCO_82028	 A 22-year-old male collegiate football player with a right posterior labral tear. Axial T2-weighted gradient-echo magnetic resonance arthrographic image shows posterior labral detachment (arrow). This athlete was part of the nonbraced cohort when he suffered this injury.
ROCO_82029	 Experimental setup (top view)
ROCO_82030	 Fundus photograph and optical coherence tomographic (OCT) images of a patient with retinitis pigmentosa (RP).(A) Representative fundus photograph showing the locations of the 9 mm OCT scans (green lines). Green filled circle indicates the location of the measured points. (B) Representative OCT image. Note that the photoreceptor layer is lost.
ROCO_82031	 Anatomical location of the histological sections: penumbra cortex.
ROCO_82033	 Sections behind the airfoil for measurement of flow velocity distribution
ROCO_82034	 Picture of the experimental plasmonic waveguide.
ROCO_82035	 Transurethral incision of the bladder neck in a woman with a primary bladder neck obstruction. Final view of the transurethral incision of the bladder neck at the 5- and 7-o'clock position.
ROCO_82037	 Pneumonia on lung ultrasonography. Lung ultrasound findings of pneumonia in a neonate (gestational age, 36+2 weeks; vaginal delivery; birth weight, 3010 g). Lung ultrasound showed pleura lines abnormalities, disappearance of A-line and lung sliding, irregular areas of lung consolidation with air bronchograms.
ROCO_82039	 Case n° 401. In-brace correction after failure of 3 years Chêneau brace. Despite surgical indication, the parents refuse surgery and ask us to continue treatment with the new ARTbrace. The angular correction in the frontal plane remains above 50 %. The geometrical detorsion is satisfactory
ROCO_82040	 Screen capture at the expert center during an abdominal ultrasound with LogMeIn.
ROCO_82041	 The records of the species of genus Isotogastrura
ROCO_82042	 To determine, ideal site of entry, a radiopaque grid is placed intraoperatively on patient's low back centered over the spine.
ROCO_82045	 Simulated microwave tomographic image of pig thigh with areas of reduced blood flow and compartment syndrome. Frequency 2.0 GHz. Reconstruction using a two-dimensional Newton approach.
ROCO_82046	 Videomicroscopy images of leukocyte trafficking responses in mouse mesenteric postcapillary venules in vivo in response to (A) saline (0.25 ml intraperitoneally, 2 h), (B) IL-1β (5 ng intraperitoneally, 2 h), and (C) IL-1β (5 ng intraperitoneally, 24 h).
ROCO_82047	 IOFB approach with the intraocular magnet
ROCO_82049	 In the present case, the park-bench position allowed both resection and defect reconstruction in a single surgical approach, without changing the patient's position.
ROCO_82052	 Andreas Vesalius portrait in the “Hall of Medicine” at the Bo Palace of the University of Padua.
ROCO_82053	 Seating of the framework on the cast with sticky wax
ROCO_82054	 Non-hemolytic, semi-translucent pinpoint colonies of M. hominis were shown on 5 % blood sheep agar after 4 days of incubation
ROCO_82055	 Evidence of being conscious during the event
ROCO_82056	 Construction graphs of (a) the three‐electrode testing system (EW: electrochemical workstation, WE: working electrode, CE: counter electrode, RE: reference electrode), and (b) the two‐electrode testing system.
ROCO_82057	 Risk level of metro line in urban area.
ROCO_82058	 Access opening demonstrating two distinct canal orifices
ROCO_82059	 Classification of the horizontal component of partial-thickness supraspinatus tendon tears according to Lee et al. [13], based on the ABER position. Schematic illustration of the anatomy of the glenohumeral joint in ABER position. 1 humeral head, 2 glenoid, 3 acromion. Detail illustrations (a–d) demonstrate: a intact supraspinatus tendon (arrows). b–d Classification of the horizontal component of partial-thickness tears of the supraspinatus tendon: b tear without articular surface abnormality (type A), c tear with irregularity of the articular surface (type B), and d tear with torn edge of the articular surface (type C)
ROCO_82060	  Interface of DM-Scan, the new semiautomatic tool to assess mammographic density.
ROCO_82062	 On the go. Transportation sound is perhaps the largest contributor to urban noise pollution.
ROCO_82063	 Anterolateral portal: PL bundle without retraction of AM bundle
ROCO_82064	 Experimental blast: (SZ/OEMU/3/1), Zuckerman Archive, University of East Anglia.
ROCO_82067	 Local anaesthetic being into the greater palatine foramen
ROCO_82068	 Passive appliance.
ROCO_82069	 Eight weeks after topical antibiotic treatment, stromal infiltration has resolved and resulted in an avascularized stromal scar
ROCO_82070	 The tumor was resected by confirming the extent of the tumor with PDE during surgery.
ROCO_82071	 Image of a bifocal toric intraocular lensImage of a bifocal toric intraocular lens (Lentis MF 30, Oculentis) with markings on the intraocular lens optic indicating the axis of the torus that has to be aligned with the steep meridian of the astigmatic cornea intraoperatively.
ROCO_82072	 A compact proton accelerator based on Lawerence Livermore national laboratory (LLNL), Compact Particle Accelerator Corporation
ROCO_82073	 Photograph showing the transanal minimal access device (Gelport Path, Applied Medical) in situ in a patient's perineum after initial mobilisation of the anorectum
ROCO_82074	 Controlling the degree of distal implant inclination using a conventional transparent plastic semicircular protractor.
ROCO_82075	 Orientation of the mouse head is estimated by performing linear regression on each side of the facial contour.
ROCO_82076	 Submacular hemorrhage of case 3 pre-treatment.
ROCO_82078	 A giant thrombosed venous aneurysm in the calf. Histological analysis showed vascular dilatation and luminal thrombus.
ROCO_82079	 Group A showing fungal growth
ROCO_82080	  Computed tomographic scan taken at first follow-up examination.
ROCO_82081	 Flexible fibreoptic bronchoscopy of left lower lobe visualizing an external compressing mass (1) and a slit-like opening in left lower lobe bronchus lumen (2) A transbronchial aspiration needle can also be seen (N)
ROCO_82082	 Predominant microbial communities within different sites of the oral and oropharyngeal region. This figure was created using data sources from Dewhirst et al., (2012), Hull et al., (2007) and Taylan et al., (2011) 2, 10, 11.
ROCO_82083	 Midleg, inner face (CASENT0318418): close-up of the deep fovea concealing a small, stout, truncated seta (present at the mesotibia's apex).
ROCO_82084	 Arthroscopic view of affected joint synovium in Patient 1 showed marked synovial hyperplasia.
ROCO_82085	 Bronchoscopy revealing a well-circumscribed hypervascular movable tumor located at the right B3 bronchus. The tumor obstructed ∼90% of the lumen and the scope was not able to pass through the narrowed route.
ROCO_82086	 A coronal oblique slice of the heterogeneous aberrating breast phantom is shown with the experimental MR temperature map (PRF-shift method) overlaid on a T1-weighted image. The white scale bar represents 5 cm
ROCO_82087	 Medial view of the right side of a sagittally sectioned head of the platypus Ornithorhynchus anatinus, from Zuckerkandl (1886), relabelled. The ostium pharyngo-tympanicum represents the open connection between nasopharynx and tympanic cavity, which in the platypus replaces the narrow Eustachian tube typical of other mammals. Presumably, the ostium appears bright due to light from the other side of the head shining through the tympanic membrane. The dark rod within the bright circle is the manubrium of the malleus. Reproduced with kind permission from Springer Science+Business Media: Archiv für Öhrenheilkunde, Beiträge zur vergleichenden Anatomie der Ohrtrompete, 23, 1886, 201–213, Zuckerkandl, E., Fig. 1
ROCO_82090	 Dissection of left side of the thorax showing circular intercostal space intervening between second and third intercostal spaces, encircled by bifid third rib and bifid third costal cartilage. CIS, circular intercostal space; 2IC, second intercostal space; 3CC third costal cartilage; 3IC, third intercostal space; 3R, third rib.
ROCO_82092	 Reflection image of the breast showing superficial veins in cross section.
ROCO_82093	 The inhibition of growth of Candida albicans colonies on the Müller-Hinton agar in the area of Gelclair application (the clear zone).
ROCO_82094	 Species-key to the C. kelleri-group.Postpetiole with a complete, deep, longitudinal median impression (C. madagascariensis, CASENT0193446).
